text,href,full_url
USBP Apprehensions FY 2018,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2018_FORRELEASE.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2018_FORRELEASE.xlsx
USBP Apprehensions FY 2019 Q1Q2,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2019_Q1Q2_FORRELEASE%20%281%29.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2019_Q1Q2_FORRELEASE%20(1).xlsx
USBP Apprehensions FY 2019 Q3,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2019_Q3_FORRELEASE.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2019_Q3_FORRELEASE.xlsx
USBP Apprehensions FY 2019 Q4,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2019_Q4_FORRELEASE.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2019_Q4_FORRELEASE.xlsx
USBP Apprehensions FY 2020,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2020_FORRELEASE.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2020_FORRELEASE.xlsx
USBP Apprehensions FY 2021 Q1Q2,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2021_Q1Q2_FORRELEASE.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2021_Q1Q2_FORRELEASE.xlsx
USBP Apprehensions FY 2021 Q3,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2021_Q3_FORRELEASE.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2021_Q3_FORRELEASE.xlsx
USBP Apprehensions FY 2021 Q4,/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2021_Q4_FORRELEASE.xlsx,https://www.cbp.gov/sites/default/files/assets/documents/2022-Aug/USBP%20Apprehensions%20FY2021_Q4_FORRELEASE.xlsx
USBP SWB Apprehensions by Demographic FY 2011-FY2015,/sites/default/files/2025-01/usbp_swb_apprehenions_by_demographic_fy_2011-fy2015.xlsx,https://www.cbp.gov/sites/default/files/2025-01/usbp_swb_apprehenions_by_demographic_fy_2011-fy2015.xlsx
USBP SWB Apprehensions by Demographic FY 2016-FY2021,/sites/default/files/2025-01/usbp_swb_apprehenions_by_demographic_fy_2016-fy2021.xlsx,https://www.cbp.gov/sites/default/files/2025-01/usbp_swb_apprehenions_by_demographic_fy_2016-fy2021.xlsx
USBP Nationwide Apprehensions FY 2022,/sites/default/files/2024-11/usbp_nationwide_apprehensions_fy_2022.xlsx,https://www.cbp.gov/sites/default/files/2024-11/usbp_nationwide_apprehensions_fy_2022.xlsx
USBP Nationwide Apprehensions FY 2023 Q1,/sites/default/files/2024-11/usbp_nationwide_apprehenions_fy_2023_q1.xlsx,https://www.cbp.gov/sites/default/files/2024-11/usbp_nationwide_apprehenions_fy_2023_q1.xlsx
USBP Nationwide Apprehensions FY 2023 Q2,/sites/default/files/2024-11/usbp_nationwide_apprehenions_fy_2023_q2.xlsx,https://www.cbp.gov/sites/default/files/2024-11/usbp_nationwide_apprehenions_fy_2023_q2.xlsx
USBP Nationwide Apprehensions FY 2023 Q3,/sites/default/files/2024-11/usbp_nationwide_apprehenions_fy_2023_q3_0.xlsx,https://www.cbp.gov/sites/default/files/2024-11/usbp_nationwide_apprehenions_fy_2023_q3_0.xlsx
USBP Nationwide Apprehensions FY 2023 Q4,/sites/default/files/2024-11/usbp_nationwide_apprehenions_fy_2023_q4_0.xlsx,https://www.cbp.gov/sites/default/files/2024-11/usbp_nationwide_apprehenions_fy_2023_q4_0.xlsx
USBP Nationwide Apprehensions by Demographic FY 2011-FY2015,/sites/default/files/2024-12/usbp_nationwide_apprehenions_by_demographic_fy_2011-fy2015.xlsx,https://www.cbp.gov/sites/default/files/2024-12/usbp_nationwide_apprehenions_by_demographic_fy_2011-fy2015.xlsx
USBP Nationwide Apprehensions by Demographic FY 2016-FY2021,/sites/default/files/2024-12/usbp_nationwide_apprehenions_by_demographic_fy_2016-fy2021_0.xlsx,https://www.cbp.gov/sites/default/files/2024-12/usbp_nationwide_apprehenions_by_demographic_fy_2016-fy2021_0.xlsx
USBP Nationwide Apprehensions FY 2024 Oct 2023 to May 31 2024,/sites/default/files/2024-11/usbp_nationwide_apprehensions_fy_2024_oct_2023_to_may_31_2024.xlsx,https://www.cbp.gov/sites/default/files/2024-11/usbp_nationwide_apprehensions_fy_2024_oct_2023_to_may_31_2024.xlsx
USBP Nationwide T8 Apprehensions Dates 10012019 to 09302021,/sites/default/files/2024-10/usbp_nationwide_t8_apprehensions_dates_10012019_to_09302021.xlsx,https://www.cbp.gov/sites/default/files/2024-10/usbp_nationwide_t8_apprehensions_dates_10012019_to_09302021.xlsx
USBP Nationwide Guatemalan Apprehensions FY02 - FY17,/sites/default/files/2024-10/usbp_nationwide_guatemalan_apprehenions_fy02_-_fy17.xlsx,https://www.cbp.gov/sites/default/files/2024-10/usbp_nationwide_guatemalan_apprehenions_fy02_-_fy17.xlsx
